pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,match_quality,confidence,match_notes
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,Godrej Nupur Moisturising Soap (100g),Godrej Expert Men Soap (100g),100,100,Amazon.in,2026-03-09,130,125,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,Godrej Nupur Moisturising Soap (100g),Godrej Expert Men Soap (100g),100,100,Blinkit,2026-03-19,60,96,INR,0,0,3,MED,source=blinkit_raw.csv
GODREJ-BARSOAP-HYD-AUTO001,Hyderabad,Godrej,Bar Soap,Godrej Nupur Moisturising Soap (100g),Godrej Expert Men Soap (100g),100,100,Flipkart,2026-03-18,173,242,INR,0,0,3,HIGH,source=flipkart_raw.csv
HEADSHOU-CONDITIO-HYD-AUTO001,Hyderabad,Head & Shoulders,Conditioner,H&S Smooth & Silky Conditioner 340ml,H&S Men 2-in-1 Anti-Dandruff 340ml,340,340,Amazon.in,2026-03-09,180,206,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HEADSHOU-CONDITIO-HYD-AUTO001,Hyderabad,Head & Shoulders,Conditioner,H&S Smooth & Silky Conditioner 340ml,H&S Men 2-in-1 Anti-Dandruff 340ml,340,340,Blinkit,2026-03-19,480,408,INR,0,0,3,MED,source=blinkit_raw.csv
HEADSHOU-CONDITIO-HYD-AUTO001,Hyderabad,Head & Shoulders,Conditioner,H&S Smooth & Silky Conditioner 340ml,H&S Men 2-in-1 Anti-Dandruff 340ml,340,340,Flipkart,2026-03-18,574,992,INR,0,0,3,HIGH,source=flipkart_raw.csv
HEADSHOU-SHAMPOO-HYD-AUTO001,Hyderabad,Head & Shoulders,Shampoo,H&S Smooth & Silky Shampoo,H&S Men Ultra Shampoo,100,100,Amazon.in,2026-03-09,169,539,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HEADSHOU-SHAMPOO-HYD-AUTO001,Hyderabad,Head & Shoulders,Shampoo,H&S Smooth & Silky Shampoo,H&S Men Ultra Shampoo,100,100,Blinkit,2026-03-19,340,220,INR,0,0,3,MED,source=blinkit_raw.csv
HEADSHOU-SHAMPOO-HYD-AUTO001,Hyderabad,Head & Shoulders,Shampoo,H&S Smooth & Silky Shampoo,H&S Men Ultra Shampoo,100,100,Flipkart,2026-03-18,199,930,INR,0,0,3,HIGH,source=flipkart_raw.csv
HIMALAYA-BARSOAP-HYD-AUTO001,Hyderabad,Himalaya,Bar Soap,Himalaya Neem & Turmeric Soap,Himalaya Men Intense Oil Clear Soap,100,100,Amazon.in,2026-03-09,241,44,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HIMALAYA-BARSOAP-HYD-AUTO001,Hyderabad,Himalaya,Bar Soap,Himalaya Neem & Turmeric Soap,Himalaya Men Intense Oil Clear Soap,100,100,Blinkit,2026-03-19,194,194,INR,0,0,3,MED,source=blinkit_raw.csv
HIMALAYA-BODYLOTI-HYD-AUTO001,Hyderabad,Himalaya,Body Lotion,Himalaya Nourishing Skin Cream 150ml,Himalaya Men Intense Moisturizing Cream 150ml,150,150,Amazon.in,2026-03-09,162,1145,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HIMALAYA-BODYLOTI-HYD-AUTO001,Hyderabad,Himalaya,Body Lotion,Himalaya Nourishing Skin Cream 150ml,Himalaya Men Intense Moisturizing Cream 150ml,150,150,Blinkit,2026-03-19,525,525,INR,0,0,3,MED,source=blinkit_raw.csv
HIMALAYA-BODYLOTI-HYD-AUTO001,Hyderabad,Himalaya,Body Lotion,Himalaya Nourishing Skin Cream 150ml,Himalaya Men Intense Moisturizing Cream 150ml,150,150,Flipkart,2026-03-18,649,118,INR,0,0,3,HIGH,source=flipkart_raw.csv
HIMALAYA-CONDITIO-HYD-AUTO001,Hyderabad,Himalaya,Conditioner,Himalaya Protein Conditioner 200ml,Himalaya Men Protein Conditioner 200ml,200,200,Amazon.in,2026-03-09,107,159,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HIMALAYA-CONDITIO-HYD-AUTO001,Hyderabad,Himalaya,Conditioner,Himalaya Protein Conditioner 200ml,Himalaya Men Protein Conditioner 200ml,200,200,Blinkit,2026-03-19,224,224,INR,0,0,3,MED,source=blinkit_raw.csv
HIMALAYA-FACEMOIS-HYD-AUTO001,Hyderabad,Himalaya,Face Moisturizer,Himalaya Nourishing Skin Cream 50ml,Himalaya Men Intense Moisturizing Cream 50ml,50,50,Amazon.in,2026-03-09,238,1145,INR,1,1,3,HIGH,source=amazon_in_raw.csv
HIMALAYA-FACEMOIS-HYD-AUTO001,Hyderabad,Himalaya,Face Moisturizer,Himalaya Nourishing Skin Cream 50ml,Himalaya Men Intense Moisturizing Cream 50ml,50,50,Blinkit,2026-03-19,233,289,INR,0,0,3,MED,source=blinkit_raw.csv
